k_latent_factors,learning_rate,reg_p,reg_q,train_rmses,test_rmses,num_epochs
10,0.001,1,1,"[3.5597096312433987, 3.5439419525305635, 3.5276882366427915, 3.4946081265803928, 3.487858987020023, 3.4620616640171553, 3.450435067387086, 3.436513689010496, 3.4285803755555757, 3.4159993243320015, 3.38853606618537, 3.3769896761202216, 3.3587915898523915, 3.32863478557371, 3.319961251569442, 3.3001404946582578, 3.277761541142691, 3.261869636777168, 3.2378858999323277, 3.204398722362652, 3.179560934020409, 3.159147419026307, 3.124530892892279, 3.097438377876444, 3.053932672845078, 3.024523274433559, 2.991279958459903, 2.9603637692372153, 2.930564106982708, 2.901800377047958, 2.867499306769554, 2.8395061076986376, 2.812312590449479, 2.7813694730059115, 2.755787133486531, 2.731712363132592, 2.70723877881596, 2.6725034482033614, 2.6360733424237095, 2.601710637557961, 2.588571305599599, 2.5565907920007143, 2.530145918408729, 2.5016528414169574, 2.4825130718858346, 2.451886381177852, 2.43353330273923, 2.4151148008352243, 2.395370799440273, 2.3833324289252884, 2.3610008382365524, 2.3401597554382243, 2.3277918043838515, 2.3140625641111816, 2.298172720137931, 2.2878183499677793, 2.2620008946206087, 2.246571198706697, 2.243823458092905, 2.2301864340534827, 2.221278705610592, 2.208777037533561, 2.192656235024589, 2.1730360031819917, 2.188525579772606, 2.1572383573503755, 2.152325404735726, 2.1447427339650793, 2.1278107634429904, 2.114391282465891, 2.1132038939465625, 2.100566932735013, 2.0836963136260316, 2.072133388489402, 2.059259561693341, 2.0540795730705272, 2.040726496179269, 2.032069870556367, 2.0239835421622137, 2.0099927631426344, 2.002942169089054, 2.0111606152184756, 1.9803638532080508, 1.975618953041428, 1.9771505992528502, 1.9641551438338103, 1.9517236196730232, 1.9441758845943609, 1.9401413094315507, 1.937944282433968, 1.929206674816938, 1.9355781564708043, 1.924333567215579, 1.9110661020054307, 1.9087854129324235, 1.9017150326430345, 1.8971099451677769, 1.8887253845501615, 1.883141572026903, 1.8746356320670627, 1.8723636112556068, 1.8688797597185955, 1.8647329391772083, 1.8609193135054678, 1.8498869467360997, 1.8477202685556626, 1.83701307676007, 1.831101875587745, 1.8305446963909568, 1.8254863553694975, 1.821219854827515, 1.818130963368879, 1.8109043996763798, 1.8036348134425695, 1.7963395992862943, 1.795659562763272, 1.7848785462510615, 1.780686638314982, 1.7766552512514773, 1.7713100096439094, 1.7684503545402301, 1.7690047852974689, 1.7604746074840374, 1.7618562229410892, 1.7520420862236172, 1.7525888673407213, 1.7457104204080136, 1.7423492471753497, 1.735994509679404, 1.7319917121608897, 1.7352974825867982, 1.7323714332190403, 1.7312907787154526, 1.7162624676571758, 1.7173274134195182, 1.7105597653508027, 1.712593420333022, 1.7022102932666254, 1.7017698712637803, 1.698322389817456, 1.6957751267788899, 1.693159167635878, 1.6944726932555254, 1.694188053715182, 1.6835927669784698, 1.6842500984070794, 1.6745264495044114, 1.6745846719168624, 1.6770430231144209, 1.6681346554434766, 1.666294758585976, 1.6651331470232182, 1.6559725830130019, 1.6583887549106096, 1.6574726234078694, 1.650072906662843, 1.6476340089191148, 1.6482199124476133, 1.6357856143054412, 1.6433323650076994, 1.6383716393981782, 1.6282697706875726, 1.6346902141381867, 1.6269264149265865, 1.6264345203328685, 1.6224015046044125, 1.6208262547985928, 1.6182649986991933, 1.6163608336121007, 1.6087158480890098, 1.612470628843313, 1.603500061753459, 1.5967014679041607, 1.5998034295698154, 1.5985923132603472, 1.592552517056193, 1.592220168253738, 1.5891535989576449, 1.5859438457764823, 1.5819135519999803, 1.5788626729190003, 1.5793538405947267, 1.5783742023247649, 1.5783356802927024, 1.5688097270374153, 1.5700640252362028, 1.5696552629315101, 1.5652213302139992, 1.5592718115443283, 1.5623919961055928, 1.5598944912476207, 1.5560528220020982, 1.554771835760026, 1.5535655080206607, 1.558744634253078, 1.5512098443306725, 1.5426891573171733, 1.541280368027739, 1.5404489823536291, 1.543697889811916]","[4.427659609329391, 4.426449371106876, 4.415839762613498, 4.427890723530523, 4.423477526420243, 4.400280709071525, 4.390116184575191, 4.396005443812074, 4.380337172133727, 4.370823396368486, 4.4024571524692835, 4.375708360395285, 4.358423377366531, 4.373315818740898, 4.312632704084932, 4.368080781927862, 4.38344610279694, 4.339575015919443, 4.347293834933396, 4.336239304833143, 4.347090872126523, 4.384484944628723, 4.361238975000795, 4.306468252686302, 4.357198817911314, 4.34400212155119, 4.309837651917777, 4.319126811052949, 4.31887702395032, 4.350122240294111, 4.329140661770321, 4.317813940947885, 4.366008173485418, 4.326620717965016, 4.346663780952809, 4.293914614011857, 4.321885874024896, 4.336551294969977, 4.316423168619745, 4.301880509784812, 4.309352102365198, 4.286525101472635, 4.3154409426202776, 4.318128715723626, 4.302342747834547, 4.3271222941165375, 4.309240050297195, 4.30444679594466, 4.299008989449502, 4.290304346932146, 4.281740516848641, 4.30897312087959, 4.289990019276635, 4.310419718115774, 4.290814552581837, 4.276199904908063, 4.280251675918272, 4.290498125117739, 4.259416269837044, 4.263063637187418, 4.3130136866818845, 4.279858728516362, 4.287515514807207, 4.282549644718156, 4.309178018828251, 4.274464694692781, 4.283748340887924, 4.283653056048377, 4.259799799340882, 4.259531328125009, 4.283741566784164, 4.287999254647621, 4.248160586382919, 4.246467540695576, 4.2608735069971235, 4.256581642818087, 4.245238315297037, 4.235933118212968, 4.260251991155438, 4.260669635583951, 4.269091518510083, 4.220021967805667, 4.22728954690211, 4.247198097176093, 4.25188158942786, 4.250817692278819, 4.2316498828595375, 4.241214104700855, 4.261295467041179, 4.2167094489818355, 4.250746119997151, 4.239623008682415, 4.229429926063229, 4.243510398804912, 4.243355354283245, 4.226932428963748, 4.255844477038456, 4.224687605963787, 4.205662342736639, 4.238801000798952, 4.196791307222002, 4.195528045973556, 4.227180727569, 4.223430263135961, 4.226763534845446, 4.221508362726212, 4.204946648848214, 4.202860473980569, 4.1961834937126845, 4.227758390479985, 4.189769934563507, 4.2131547241149665, 4.1925511877907775, 4.205279231779147, 4.202914690536535, 4.183182055950393, 4.190439188787456, 4.1992108770797945, 4.1964165099441555, 4.194506241560491, 4.185655741630245, 4.198722320520713, 4.189467459375392, 4.177680696253035, 4.1662568162751645, 4.178421298125811, 4.1869809907610245, 4.180499187625, 4.149118347038042, 4.195872465033902, 4.1734425101525074, 4.165762699415774, 4.17088898701209, 4.166338454131847, 4.180524250813418, 4.157008948891619, 4.1556418480565736, 4.148780414613355, 4.148618442885709, 4.179890108450594, 4.165576767258894, 4.1714131214856325, 4.160292967333441, 4.17042999678066, 4.167054115628563, 4.167471799358167, 4.16672418294936, 4.151322852773444, 4.144431074318896, 4.148015537206586, 4.138838035220955, 4.164125835344348, 4.121175696682962, 4.161946417329336, 4.165563656698448, 4.133762789390543, 4.150343138207745, 4.1415516280239375, 4.132875082897324, 4.12350422470959, 4.134672747166337, 4.119961504713317, 4.14750873719543, 4.14307204664874, 4.1348406539689115, 4.1345116027397495, 4.13314768785431, 4.136829845224998, 4.139447494093563, 4.149891656573613, 4.108141749791514, 4.113899415337519, 4.116876249315613, 4.119187243560258, 4.130644045836081, 4.109876535584142, 4.121836238607852, 4.09787748218432, 4.1194691909434, 4.115853093298457, 4.112793161118882, 4.1077626843427275, 4.108866522123184, 4.112022732941648, 4.099490250946816, 4.111841348701488, 4.103728652293321, 4.119068539070328, 4.091161835962738, 4.110451335803565, 4.112296319360388, 4.0939305883233, 4.113233580512002, 4.089650297175518, 4.102956328351756, 4.099435527787526, 4.093555032139315, 4.1044025019938974, 4.081267254397202, 4.122706366034134]",200.0
5,0.001,1,1,"[4.0318614460625675, 4.018722627688432, 4.00254059675531, 3.9995113935995033, 3.9664884915152485, 3.9596126201503212, 3.93520587501893, 3.910181625825935, 3.886404355363001, 3.862937910214957, 3.840488762192398, 3.799036620823854, 3.7616120804372373, 3.725555631469763, 3.6951248986405925, 3.6536191444210426, 3.615545087616628, 3.586610644213055, 3.5380244855703045, 3.521498757128683, 3.4809529945929665, 3.4439706713613, 3.4117132943983224, 3.381419087073618, 3.3535556475150345, 3.312418330625269, 3.27820378461374, 3.2251700586985015, 3.196484246251675, 3.1588741494215107, 3.1274139457862735, 3.075266202820708, 3.040210209744571, 3.004084906599137, 2.9800187658422006, 2.9442038203532217, 2.9099896849969626, 2.8806746137655885, 2.8309884119593054, 2.802555208214134, 2.7779573125184576, 2.739376813316174, 2.706930053228272, 2.6914191550052107, 2.6556578782346087, 2.626063000094712, 2.596973475777285, 2.5720054823712535, 2.5453439630909918, 2.528661758451233, 2.51888874776721, 2.5036583703792803, 2.4596690478521324, 2.443431726262203, 2.421770628516453, 2.416666750877276, 2.3931163374226005, 2.3700871667144514, 2.3702717422208552, 2.352037668011372, 2.3338735888775983, 2.321253428333918, 2.3080664146462935, 2.295640976275832, 2.288440377110089, 2.269414429065812, 2.2676734207668514, 2.2432580923453704, 2.240558969265574, 2.2402634672567605, 2.21414173265625, 2.2082005840815184, 2.197805391941638, 2.189713449740845, 2.1766849504252055, 2.1649588897035588, 2.1533298297610526, 2.1480652029129153, 2.1355452246631645, 2.1352657619336357, 2.1330116147676015, 2.125404433393488, 2.1045149687612645, 2.1050929340839555, 2.100163098382013, 2.0861867013606568, 2.082452617997947, 2.081118697881087, 2.073380049399206, 2.0716388471585074, 2.0531075162519663, 2.049046606102428, 2.0418774317813435, 2.0353179376576636, 2.031937431662364, 2.023230733600597, 2.018307848097508, 2.0145643938857876, 2.01182490322905, 1.9993936459996742]","[5.903645820892349, 5.905956890876439, 5.866165949320723, 5.929561321375494, 5.894536087937796, 5.882406015158566, 5.971065964415714, 5.962636896413488, 6.034590891297823, 6.136119860088365, 5.95365828249213, 6.038960960973727, 6.070634643536509, 6.052019863899743, 5.96512077331933, 5.954663967293636, 6.012364766948032, 6.117631345233234, 6.009542612256092, 5.933431899840944, 6.15373229958379, 6.098081145591645, 6.103686827681376, 6.133011929867708, 5.951716348115212, 5.931503267052609, 6.029644067775136, 6.054271197345399, 5.990733843883233, 5.961949728113121, 6.115283936177734, 5.994631373439411, 6.046481809860072, 6.0006628345710995, 5.962088361740279, 6.043718596550765, 5.958119835546518, 5.9980049027226, 5.988448729295212, 5.946483318091259, 5.900775746296395, 5.86498137646252, 5.927940484313733, 5.867165023549731, 5.892158339921719, 5.850088236064689, 5.837977377211646, 5.834542096788338, 5.876202628037659, 5.848312867155344, 5.859312651077146, 5.803980279881089, 5.822656281050403, 5.808628538701092, 5.787763264568177, 5.846549289396974, 5.811897982872585, 5.8256714119879085, 5.740919166034905, 5.8228516946992075, 5.805530545413325, 5.807987992812381, 5.774629991535341, 5.7968108182260885, 5.745054088908962, 5.732647494600308, 5.705285868684928, 5.758071677816449, 5.730787126267562, 5.698947354683321, 5.7233517044317, 5.721436491636408, 5.706862862456601, 5.672309997978683, 5.704047891007002, 5.667874662517984, 5.696373008235819, 5.682411014539739, 5.6739493546934625, 5.668393557059883, 5.679963779239996, 5.686059116091, 5.674914639341873, 5.656715947907034, 5.673394909940461, 5.631954367975386, 5.661466079562363, 5.637642221610776, 5.643098808896426, 5.62279023055261, 5.646779352544274, 5.618314906017459, 5.6314955293970375, 5.629323989765848, 5.61723722683179, 5.604419186165658, 5.606310287079144, 5.62383470729118, 5.605238971341175, 5.585534187094186]",100.0
5,0.001,1,1,"[4.0318614460625675, 4.018722627688432, 4.00254059675531, 3.9995113935995033, 3.9664884915152485, 3.9596126201503212, 3.93520587501893, 3.910181625825935, 3.886404355363001, 3.862937910214957, 3.840488762192398, 3.799036620823854, 3.7616120804372373, 3.725555631469763, 3.6951248986405925, 3.6536191444210426, 3.615545087616628, 3.586610644213055, 3.5380244855703045, 3.521498757128683, 3.4809529945929665, 3.4439706713613, 3.4117132943983224, 3.381419087073618, 3.3535556475150345, 3.312418330625269, 3.27820378461374, 3.2251700586985015, 3.196484246251675, 3.1588741494215107, 3.1274139457862735, 3.075266202820708, 3.040210209744571, 3.004084906599137, 2.9800187658422006, 2.9442038203532217, 2.9099896849969626, 2.8806746137655885, 2.8309884119593054, 2.802555208214134, 2.7779573125184576, 2.739376813316174, 2.706930053228272, 2.6914191550052107, 2.6556578782346087, 2.626063000094712, 2.596973475777285, 2.5720054823712535, 2.5453439630909918, 2.528661758451233, 2.51888874776721, 2.5036583703792803, 2.4596690478521324, 2.443431726262203, 2.421770628516453, 2.416666750877276, 2.3931163374226005, 2.3700871667144514, 2.3702717422208552, 2.352037668011372, 2.3338735888775983, 2.321253428333918, 2.3080664146462935, 2.295640976275832, 2.288440377110089, 2.269414429065812, 2.2676734207668514, 2.2432580923453704, 2.240558969265574, 2.2402634672567605, 2.21414173265625, 2.2082005840815184, 2.197805391941638, 2.189713449740845, 2.1766849504252055, 2.1649588897035588, 2.1533298297610526, 2.1480652029129153, 2.1355452246631645, 2.1352657619336357, 2.1330116147676015, 2.125404433393488, 2.1045149687612645, 2.1050929340839555, 2.100163098382013, 2.0861867013606568, 2.082452617997947, 2.081118697881087, 2.073380049399206, 2.0716388471585074, 2.0531075162519663, 2.049046606102428, 2.0418774317813435, 2.0353179376576636, 2.031937431662364, 2.023230733600597, 2.018307848097508, 2.0145643938857876, 2.01182490322905, 1.9993936459996742, 1.9992252443192495, 1.9887641097701863, 1.9831463320090772, 1.9854645284520287, 1.9799671915016634, 1.9713599876962253, 1.963954853961947, 1.963480447423982, 1.952405469281063, 1.9427174914727254, 1.94807976697792, 1.9391369652494392, 1.9332581618265003, 1.9310865941049198, 1.9183228875491438, 1.9260909653777, 1.9101227624671617, 1.9069153296910146, 1.9049974639236096, 1.9037981291093888, 1.8968668110061313, 1.891258498859947, 1.8880383636914715, 1.8865653859223483, 1.880842786400646, 1.8676324049014368, 1.8750509873280257, 1.8598901029951667, 1.860976424641904, 1.8505981392766173, 1.8656490175576415, 1.8465739032160966, 1.8441782789618593, 1.8467421277011622, 1.837895034294148, 1.8315445553206273, 1.8271116924803352, 1.8212438290151638, 1.8220324406491848, 1.8154726541203592, 1.8149580615172698, 1.8084466347942474, 1.801740260338652, 1.7988565670253738, 1.7994500299708447, 1.7982456737886756, 1.796891373912137, 1.7928435729519938, 1.7934792449176469, 1.7836478611520097, 1.7829412583300763, 1.7844095642529456, 1.774979037592088, 1.767907303752236, 1.7738932644517098, 1.766112582869499, 1.7587839671163885, 1.7666295920091946, 1.75542401796067, 1.748786097210457, 1.7550619146507944, 1.7491623392651334, 1.7419549097738107, 1.7388221220015099, 1.7409097672186522, 1.7374700615893817, 1.7287841062620166, 1.7320148855285902, 1.7254563315253717, 1.7273885954785713, 1.7196976989975823, 1.725965602250614, 1.7145599881996045, 1.712390801922383, 1.7172521436899015, 1.709801066801492, 1.7026399183619136, 1.7035208912967572, 1.697911054390808, 1.6988538833183873, 1.6914898506407245, 1.6928059289492494, 1.6951669342350533, 1.691443440545097, 1.684633081476802, 1.691189987013662, 1.6832571970033805, 1.6763394385753212, 1.6718116313034543, 1.6767343009106492, 1.667778794126761, 1.6660419123859564, 1.663036734388552, 1.6595156276670924, 1.656577406056697, 1.6577138546109156, 1.6569181737265692, 1.6510235146633514, 1.6524991560804028, 1.6529435449443433]","[5.903645820892349, 5.905956890876439, 5.866165949320723, 5.929561321375494, 5.894536087937796, 5.882406015158566, 5.971065964415714, 5.962636896413488, 6.034590891297823, 6.136119860088365, 5.95365828249213, 6.038960960973727, 6.070634643536509, 6.052019863899743, 5.96512077331933, 5.954663967293636, 6.012364766948032, 6.117631345233234, 6.009542612256092, 5.933431899840944, 6.15373229958379, 6.098081145591645, 6.103686827681376, 6.133011929867708, 5.951716348115212, 5.931503267052609, 6.029644067775136, 6.054271197345399, 5.990733843883233, 5.961949728113121, 6.115283936177734, 5.994631373439411, 6.046481809860072, 6.0006628345710995, 5.962088361740279, 6.043718596550765, 5.958119835546518, 5.9980049027226, 5.988448729295212, 5.946483318091259, 5.900775746296395, 5.86498137646252, 5.927940484313733, 5.867165023549731, 5.892158339921719, 5.850088236064689, 5.837977377211646, 5.834542096788338, 5.876202628037659, 5.848312867155344, 5.859312651077146, 5.803980279881089, 5.822656281050403, 5.808628538701092, 5.787763264568177, 5.846549289396974, 5.811897982872585, 5.8256714119879085, 5.740919166034905, 5.8228516946992075, 5.805530545413325, 5.807987992812381, 5.774629991535341, 5.7968108182260885, 5.745054088908962, 5.732647494600308, 5.705285868684928, 5.758071677816449, 5.730787126267562, 5.698947354683321, 5.7233517044317, 5.721436491636408, 5.706862862456601, 5.672309997978683, 5.704047891007002, 5.667874662517984, 5.696373008235819, 5.682411014539739, 5.6739493546934625, 5.668393557059883, 5.679963779239996, 5.686059116091, 5.674914639341873, 5.656715947907034, 5.673394909940461, 5.631954367975386, 5.661466079562363, 5.637642221610776, 5.643098808896426, 5.62279023055261, 5.646779352544274, 5.618314906017459, 5.6314955293970375, 5.629323989765848, 5.61723722683179, 5.604419186165658, 5.606310287079144, 5.62383470729118, 5.605238971341175, 5.585534187094186, 5.590865996618583, 5.61006609376179, 5.584140552126597, 5.607214757106088, 5.590505350368268, 5.589740992495812, 5.582341906573688, 5.584547200117655, 5.570643583095765, 5.589367121222292, 5.572345954155981, 5.573014433536839, 5.560193199975296, 5.56630733936075, 5.571950805666166, 5.5600282929022935, 5.569921963451575, 5.554682179105714, 5.564412592869852, 5.555666690171974, 5.540031212123783, 5.5591651007203495, 5.544314037513177, 5.539620781282212, 5.537947792196234, 5.546174411992912, 5.535352473794845, 5.529575419010222, 5.529715149591024, 5.528041895471065, 5.527363490518041, 5.520364376574668, 5.516310579872853, 5.519444133837458, 5.517669751168801, 5.522874670705395, 5.512635437556279, 5.514840660132269, 5.51324665697615, 5.515423338856944, 5.509121288946436, 5.510138774352615, 5.505406167989269, 5.50802619814303, 5.499390915688116, 5.49684827541557, 5.499783411492218, 5.504497965125329, 5.491125690224356, 5.492060030725688, 5.489967813871392, 5.486814480016937, 5.491191135540942, 5.493649980837746, 5.4825897257261715, 5.484562392176449, 5.48316398550851, 5.4820507078768435, 5.485984118622061, 5.4810696819680595, 5.481023771992056, 5.479643585039305, 5.482385663863251, 5.481620665857673, 5.475624431800369, 5.472243500547649, 5.471654074467046, 5.472989249676398, 5.467934680012376, 5.472199259000986, 5.469508910083206, 5.466105979670283, 5.464518516961492, 5.469475976912175, 5.462845572527887, 5.460904724885682, 5.46076338305117, 5.4615177775416655, 5.459201130803533, 5.460731642247833, 5.462833867527583, 5.4654800483181285, 5.456541503294978, 5.454176402648596, 5.457161815528762, 5.455095870984072, 5.45353741051343, 5.4531729155970075, 5.450368684761426, 5.452217303263956, 5.4493871509324014, 5.448725714214716, 5.446120531263806, 5.448734869303644, 5.443870710071296, 5.445311395503643, 5.446776208307787, 5.446847351384534, 5.443473985638083, 5.443460272561648]",200.0
