Original Molecule,Similar Molecules Above Threshold
CHEMBL251600,CHEMBL251392:0.6547619047619048; CHEMBL250144:0.6666666666666666; CHEMBL251599:0.7721518987341772; CHEMBL249336:0.6428571428571429; CHEMBL251180:0.625; CHEMBL250352:0.6; CHEMBL400049:0.6; CHEMBL249534:0.632183908045977; CHEMBL399522:0.6741573033707865; CHEMBL250146:0.6818181818181818; CHEMBL400392:0.6451612903225806; CHEMBL399785:0.7058823529411765
CHEMBL427711,CHEMBL251599:0.6385542168674698; CHEMBL249336:0.6144578313253012; CHEMBL250352:0.6091954022988506; CHEMBL400049:0.6091954022988506; CHEMBL249534:0.6626506024096386; CHEMBL399440:0.7125; CHEMBL250559:0.6
CHEMBL2158704,CHEMBL444335:0.6197183098591549
CHEMBL2335163,NA
CHEMBL4542697,NA
CHEMBL107987,CHEMBL100071:0.6615384615384615
CHEMBL162271,CHEMBL164422:0.7076923076923077; CHEMBL165784:0.6338028169014085
CHEMBL165784,CHEMBL161981:0.7727272727272727; CHEMBL164087:0.7096774193548387; CHEMBL349715:0.6056338028169014; CHEMBL162271:0.6338028169014085; CHEMBL60156:0.6231884057971014; CHEMBL352267:0.7076923076923077; CHEMBL162033:0.6666666666666666; CHEMBL348973:0.734375; CHEMBL351051:0.7076923076923077
CHEMBL164745,CHEMBL305322:0.7049180327868853; CHEMBL165783:0.7592592592592593; CHEMBL354004:0.6515151515151515; CHEMBL353651:0.7413793103448276; CHEMBL165741:0.7543859649122807; CHEMBL353126:0.7413793103448276
CHEMBL162000,NA
CHEMBL71053,CHEMBL128929:0.7428571428571429; CHEMBL163248:0.6417910447761194; CHEMBL70553:0.647887323943662; CHEMBL72897:0.6764705882352942; CHEMBL128886:0.6266666666666667; CHEMBL424071:0.704225352112676; CHEMBL339261:0.7761194029850746; CHEMBL128715:0.6103896103896104; CHEMBL340615:0.7246376811594203; CHEMBL128520:0.6875; CHEMBL420517:0.6527777777777778; CHEMBL130130:0.68; CHEMBL335744:0.6470588235294118; CHEMBL131532:0.704225352112676; CHEMBL130888:0.6666666666666666; CHEMBL440339:0.7761194029850746; CHEMBL128538:0.704225352112676; CHEMBL127383:0.704225352112676
CHEMBL351051,CHEMBL161981:0.6764705882352942; CHEMBL164087:0.7457627118644068; CHEMBL349715:0.6818181818181818; CHEMBL352267:0.7419354838709677; CHEMBL165784:0.7076923076923077; CHEMBL162033:0.696969696969697; CHEMBL348973:0.7419354838709677; CHEMBL163040:0.6818181818181818
CHEMBL108753,NA
CHEMBL159631,CHEMBL162665:0.75; CHEMBL164302:0.611764705882353; CHEMBL162706:0.6341463414634146; CHEMBL111086:0.7808219178082192; CHEMBL162666:0.8493150684931506; CHEMBL164200:0.6091954022988506; CHEMBL163743:0.6626506024096386; CHEMBL111545:0.821917808219178; CHEMBL164321:0.6708860759493671; CHEMBL164210:0.8289473684210527; CHEMBL422184:0.6951219512195121; CHEMBL162630:0.6588235294117647; CHEMBL321845:0.6493506493506493; CHEMBL350988:0.7125; CHEMBL2112931:0.6547619047619048; CHEMBL108501:0.7012987012987013; CHEMBL209048:0.6125
CHEMBL337503,CHEMBL436180:0.6547619047619048; CHEMBL211240:0.6428571428571429
CHEMBL164302,CHEMBL159631:0.611764705882353; CHEMBL162706:0.7272727272727273; CHEMBL111086:0.6125; CHEMBL162666:0.6341463414634146; CHEMBL163743:0.611764705882353; CHEMBL111545:0.7368421052631579; CHEMBL164210:0.6235294117647059; CHEMBL422184:0.6235294117647059; CHEMBL163126:0.6190476190476191; CHEMBL350988:0.6; CHEMBL2112931:0.6046511627906976
CHEMBL349191,CHEMBL321845:0.6666666666666666
CHEMBL319976,CHEMBL319971:0.788235294117647; CHEMBL88147:0.6881720430107527; CHEMBL318251:0.7093023255813954; CHEMBL100195:0.693069306930693; CHEMBL317382:0.6451612903225806; CHEMBL95811:0.891566265060241; CHEMBL93932:0.6; CHEMBL317310:0.6593406593406593; CHEMBL96041:0.6382978723404256; CHEMBL329722:0.7441860465116279; CHEMBL313422:0.813953488372093; CHEMBL319539:0.6633663366336634; CHEMBL95229:0.7128712871287128; CHEMBL98828:0.7326732673267327; CHEMBL319941:0.9634146341463414; CHEMBL97748:0.6701030927835051; CHEMBL97753:0.8255813953488372; CHEMBL2111571:0.6630434782608695; CHEMBL98570:0.7128712871287128; CHEMBL100382:0.7204301075268817; CHEMBL2112381:0.6630434782608695; CHEMBL97279:0.7282608695652174; CHEMBL317373:0.6336633663366337; CHEMBL330377:0.6464646464646465; CHEMBL100426:0.6; CHEMBL411692:0.6; CHEMBL317580:0.6122448979591837; CHEMBL94968:0.6310679611650486; CHEMBL97307:0.64; CHEMBL98464:0.6; CHEMBL97961:0.8433734939759037; CHEMBL95820:0.6530612244897959; CHEMBL329284:0.6597938144329897; CHEMBL97700:0.9390243902439024; CHEMBL97484:0.8131868131868132; CHEMBL318501:0.7254901960784313; CHEMBL141550:0.6060606060606061
CHEMBL97753,CHEMBL319971:0.8170731707317073; CHEMBL88147:0.7111111111111111; CHEMBL318251:0.7349397590361446; CHEMBL100195:0.7142857142857143; CHEMBL317382:0.6666666666666666; CHEMBL95811:0.8333333333333334; CHEMBL93932:0.6185567010309279; CHEMBL317310:0.6818181818181818; CHEMBL96041:0.6593406593406593; CHEMBL329722:0.7710843373493976; CHEMBL313422:0.8433734939759037; CHEMBL319539:0.6836734693877551; CHEMBL95229:0.7171717171717171; CHEMBL98828:0.6862745098039216; CHEMBL319941:0.8160919540229885; CHEMBL319976:0.8255813953488372; CHEMBL97748:0.6736842105263158; CHEMBL2111571:0.6666666666666666; CHEMBL98570:0.7; CHEMBL100382:0.7444444444444445; CHEMBL2112381:0.6666666666666666; CHEMBL97279:0.7528089887640449; CHEMBL317373:0.6530612244897959; CHEMBL330377:0.6666666666666666; CHEMBL100426:0.6185567010309279; CHEMBL411692:0.6185567010309279; CHEMBL317580:0.631578947368421; CHEMBL94968:0.6336633663366337; CHEMBL97307:0.6597938144329897; CHEMBL98464:0.6185567010309279; CHEMBL97961:0.8072289156626506; CHEMBL95820:0.6736842105263158; CHEMBL329284:0.6808510638297872; CHEMBL97700:0.8352941176470589; CHEMBL97484:0.7608695652173914; CHEMBL95706:0.6122448979591837; CHEMBL318501:0.6796116504854369; CHEMBL141550:0.625; CHEMBL144979:0.6
CHEMBL317580,CHEMBL319971:0.6666666666666666; CHEMBL88147:0.6666666666666666; CHEMBL318251:0.7058823529411765; CHEMBL317382:0.6966292134831461; CHEMBL95811:0.631578947368421; CHEMBL93932:0.6288659793814433; CHEMBL317310:0.6741573033707865; CHEMBL96041:0.6521739130434783; CHEMBL329722:0.6818181818181818; CHEMBL313422:0.6382978723404256; CHEMBL319941:0.6060606060606061; CHEMBL319976:0.6122448979591837; CHEMBL97748:0.6; CHEMBL97753:0.631578947368421; CHEMBL2111571:0.735632183908046; CHEMBL100382:0.6458333333333334; CHEMBL2112381:0.735632183908046; CHEMBL97279:0.6185567010309279; CHEMBL330377:0.61; CHEMBL100426:0.6631578947368421; CHEMBL411692:0.7752808988764045; CHEMBL2114300:0.6336633663366337; CHEMBL98464:0.7752808988764045; CHEMBL97961:0.6593406593406593; CHEMBL95820:0.6161616161616161; CHEMBL329284:0.6060606060606061; CHEMBL2112385:0.64; CHEMBL97700:0.6185567010309279; CHEMBL95706:0.6391752577319587; CHEMBL141550:0.6185567010309279; CHEMBL144979:0.61
CHEMBL72007,NA
CHEMBL309755,CHEMBL52735:0.6071428571428571
CHEMBL305975,CHEMBL70880:0.627906976744186; CHEMBL423311:0.6329113924050633; CHEMBL308087:0.6625; CHEMBL131068:0.6133333333333333
CHEMBL310534,CHEMBL435866:0.6153846153846154; CHEMBL74112:0.6712328767123288; CHEMBL72030:0.6376811594202898; CHEMBL423311:0.6285714285714286; CHEMBL305512:0.7313432835820896; CHEMBL308087:0.6164383561643836; CHEMBL71756:0.6428571428571429; CHEMBL72183:0.8064516129032258; CHEMBL70948:0.6111111111111112; CHEMBL69841:0.6285714285714286; CHEMBL70955:0.6428571428571429; CHEMBL377211:0.6081081081081081
CHEMBL69841,CHEMBL310534:0.6285714285714286
CHEMBL315984,CHEMBL85410:0.651685393258427; CHEMBL315168:0.7721518987341772; CHEMBL419306:0.8133333333333334; CHEMBL357837:0.6373626373626373; CHEMBL140513:0.8472222222222222; CHEMBL344284:0.8133333333333334; CHEMBL140693:0.7721518987341772; CHEMBL142560:0.8051948051948052; CHEMBL142262:0.8026315789473685; CHEMBL142868:0.6621621621621622; CHEMBL139931:0.6904761904761905; CHEMBL143938:0.6373626373626373; CHEMBL143019:0.7564102564102564; CHEMBL141291:0.6829268292682927; CHEMBL143384:0.6125; CHEMBL143471:0.8051948051948052; CHEMBL341839:0.7662337662337663
CHEMBL330696,CHEMBL265096:0.6666666666666666; CHEMBL89852:0.825; CHEMBL86588:0.6739130434782609; CHEMBL89803:0.7093023255813954; CHEMBL315458:0.8026315789473685; CHEMBL442752:0.6421052631578947; CHEMBL89264:0.6781609195402298; CHEMBL328895:0.6511627906976745; CHEMBL89362:0.6292134831460674; CHEMBL85172:0.6511627906976745; CHEMBL86647:0.6595744680851063; CHEMBL86692:0.6105263157894737; CHEMBL90282:0.6373626373626373; CHEMBL329342:0.6262626262626263; CHEMBL87053:0.6413043478260869; CHEMBL89844:0.7647058823529411; CHEMBL89494:0.7228915662650602; CHEMBL312989:0.6262626262626263; CHEMBL405982:0.6354166666666666; CHEMBL327554:0.6853932584269663; CHEMBL86377:0.7045454545454546; CHEMBL88688:0.6333333333333333; CHEMBL313459:0.6739130434782609; CHEMBL84583:0.6091954022988506; CHEMBL431232:0.6354166666666666; CHEMBL103433:0.825; CHEMBL2111655:0.7011494252873564; CHEMBL2112436:0.7011494252873564; CHEMBL104198:0.6354166666666666; CHEMBL321579:0.825
CHEMBL90282,CHEMBL265096:0.6122448979591837; CHEMBL89852:0.7529411764705882; CHEMBL86588:0.6020408163265306; CHEMBL330696:0.6373626373626373; CHEMBL89844:0.6630434782608695; CHEMBL86377:0.6451612903225806; CHEMBL313459:0.6185567010309279; CHEMBL103433:0.7529411764705882; CHEMBL321579:0.7529411764705882
CHEMBL87053,CHEMBL265096:0.6666666666666666; CHEMBL89852:0.735632183908046; CHEMBL86588:0.6736842105263158; CHEMBL89803:0.6703296703296703; CHEMBL315458:0.7530864197530864; CHEMBL442752:0.6597938144329897; CHEMBL89264:0.6966292134831461; CHEMBL85172:0.6704545454545454; CHEMBL86647:0.6597938144329897; CHEMBL330696:0.6413043478260869; CHEMBL86692:0.6288659793814433; CHEMBL329342:0.6274509803921569; CHEMBL89844:0.631578947368421; CHEMBL89494:0.6263736263736264; CHEMBL312989:0.6274509803921569; CHEMBL405982:0.6530612244897959; CHEMBL327554:0.648936170212766; CHEMBL315897:0.6043956043956044; CHEMBL86377:0.7032967032967034; CHEMBL88688:0.6; CHEMBL313459:0.6736842105263158; CHEMBL84583:0.6292134831460674; CHEMBL103433:0.735632183908046; CHEMBL2111655:0.6105263157894737; CHEMBL2112436:0.6105263157894737; CHEMBL321579:0.735632183908046
CHEMBL84583,CHEMBL265096:0.6195652173913043; CHEMBL89852:0.6666666666666666; CHEMBL86588:0.6086956521739131; CHEMBL89803:0.6588235294117647; CHEMBL315458:0.7466666666666667; CHEMBL89264:0.6666666666666666; CHEMBL328895:0.6385542168674698; CHEMBL85172:0.7; CHEMBL330696:0.6091954022988506; CHEMBL86692:0.6153846153846154; CHEMBL87053:0.6292134831460674; CHEMBL89494:0.611764705882353; CHEMBL327554:0.6363636363636364; CHEMBL315897:0.6875; CHEMBL86377:0.6363636363636364; CHEMBL88688:0.6022727272727273; CHEMBL313459:0.6086956521739131; CHEMBL103433:0.6666666666666666; CHEMBL321579:0.6666666666666666
CHEMBL388757,CHEMBL605468:0.7317073170731707; CHEMBL2113426:0.7407407407407407; CHEMBL2113429:0.7228915662650602; CHEMBL2113433:0.821917808219178; CHEMBL2113420:0.7792207792207793; CHEMBL2113437:0.7317073170731707; CHEMBL66393:0.7160493827160493; CHEMBL139000:0.6428571428571429; CHEMBL420705:0.6428571428571429; CHEMBL2113487:0.6136363636363636; CHEMBL49843:0.6547619047619048; CHEMBL2113641:0.6235294117647059; CHEMBL383144:0.6351351351351351; CHEMBL193385:0.725; CHEMBL191809:0.6043956043956044; CHEMBL331382:0.6951219512195121; CHEMBL364671:0.7435897435897436; CHEMBL193692:0.7; CHEMBL406643:0.7; CHEMBL411066:0.7; CHEMBL2181971:0.6206896551724138; CHEMBL1257013:0.7435897435897436; CHEMBL2113406:0.6987951807228916; CHEMBL2113484:0.7160493827160493
CHEMBL605468,CHEMBL388757:0.7317073170731707; CHEMBL605054:0.7472527472527473; CHEMBL2113426:0.6777777777777778; CHEMBL2113429:0.6630434782608695; CHEMBL2113433:0.7228915662650602; CHEMBL2113420:0.7093023255813954; CHEMBL2113437:0.6703296703296703; CHEMBL49843:0.6741573033707865
